mp_conc,corral,day,date_sampled,order,biomass_ug_l
7071,G,68,2021-08-09,Cladocera,38.95532421
7071,G,68,2021-08-09,Cyclopoida,3.41230876
29240,D,-1,2021-06-01,Calanoida,38.54173851
29240,D,-1,2021-06-01,Cladocera,32.09811152
29240,D,-1,2021-06-01,Cyclopoida,12.8074643
29240,D,5,2021-06-07,Calanoida,21.2566567
29240,D,5,2021-06-07,Cladocera,8.819371919
29240,D,5,2021-06-07,Cyclopoida,1.880199102
29240,D,12,2021-06-14,Calanoida,11.98888929
29240,D,12,2021-06-14,Cladocera,35.88560127
29240,D,12,2021-06-14,Cyclopoida,1.205342895
29240,D,19,2021-06-21,Calanoida,20.56593396
29240,D,19,2021-06-21,Cladocera,14.96627474
29240,D,19,2021-06-21,Cyclopoida,3.012813984
29240,D,33,2021-07-05,Calanoida,23.69015439
29240,D,33,2021-07-05,Cladocera,37.49210105
29240,D,33,2021-07-05,Cyclopoida,1.288528531
29240,D,54,2021-07-26,Calanoida,1.48715546
29240,D,54,2021-07-26,Cladocera,11.67391329
29240,D,54,2021-07-26,Cyclopoida,2.734940002
29240,D,68,2021-08-09,Calanoida,19.33340006
29240,D,68,2021-08-09,Cladocera,44.83060689
29240,D,68,2021-08-09,Cyclopoida,1.808014343
