ID,corral,date,notes,sample.type,sample.mass.mg,C_12:0,C_13:0,C_14:0,C_15:0,C_16:0,C_17:0,C_18:0,C_20:0,C_22:0,C_24:0,total_SFAs,C_12:1,C_14:1,C_16:1n-7,C_16:1n-9,C_18:1n-7,C_18:1n-9,C_20:1n-9,C_22:1n-9,total_MUFAs,C_18:2n-6,C_18:3n-6,C_20:2n-6,C_20:3n-6,C_20:4n-6,C_22:2n-6,C_22:4n-6,C_22:5n-6,total_N-6_PUFA,C_18:3n-3,C_18:4n-3,C_20:3n-3,C_20:4n-3,C_20:5n-3,C_22:5n-3,C_22:6n-3,C_24:5n-3,C_24:6n-3,total_N-3_PUFA,PUFAs,HUFAs,EPA+DHA,N-6/N-3,total_FAs
G6,G,"Aug. 23, 2021",,perch,60.1,0.015,0.005,0.405,0.081,2.733,0.126,0.723,0.033,0.015,0.012,4.147,0.004,0.02,1.007,0.179,0.732,1.785,0.047,0.006,3.78,0.951,0.076,0.045,0.054,1.05,0.011,0.136,0.332,2.657,0.633,0.192,0.044,0.083,1.578,0.225,2.204,0.009,0.057,5.025,7.682,5.623,3.783,0.009,15.61
H4,H,"Aug. 24, 2021",,perch,73.6,0.021,0.006,0.426,0.126,2.844,0.133,0.643,0.031,0.012,0.014,4.258,0.004,0.024,1.151,0.173,0.533,1.659,0.051,0.008,3.603,1.135,0.105,0.049,0.049,1.003,0.013,0.128,0.301,2.783,0.992,0.273,0.045,0.082,1.349,0.2,1.527,0.007,0.04,4.515,7.298,4.602,2.876,0.008,15.16
H6,H,"Aug. 24, 2021",,perch,54.7,0.002,0.001,0.131,0.045,1.221,0.063,0.408,0.015,0.006,0.007,1.898,0.001,0.007,0.224,0.068,0.256,0.524,0.015,0.002,1.096,0.28,0.023,0.018,0.014,0.744,0.007,0.096,0.261,1.444,0.182,0.059,0.014,0.035,0.658,0.092,1.463,0.004,0.016,2.523,3.967,3.343,2.121,0.01,6.96
H7,H,"Aug. 24, 2021",,perch,65.2,0.003,0.001,0.103,0.04,1.444,0.062,0.461,0.016,0.006,0.01,2.146,0.001,0.005,0.27,0.073,0.249,0.616,0.015,0.003,1.23,0.382,0.032,0.017,0.019,0.731,0.007,0.076,0.195,1.461,0.271,0.069,0.016,0.029,0.838,0.114,1.337,0.004,0.026,2.704,4.165,3.328,2.175,0.008,7.54
I6,I,"Aug. 20, 2021",,perch,54.6,0.009,0.004,0.454,0.075,2.504,0.093,0.618,0.029,0.013,0.011,3.809,0.002,0.029,0.838,0.159,0.485,1.472,0.036,0.005,3.027,0.682,0.062,0.041,0.032,1.05,0.015,0.113,0.383,2.378,0.523,0.251,0.028,0.079,1.329,0.158,2.088,0.009,0.041,4.505,6.883,5.179,3.416,0.01,13.72
I7,I,"Aug. 20, 2021",,perch,56.2,0.012,0.005,0.46,0.085,2.34,0.094,0.541,0.026,0.012,0.011,3.587,0.002,0.031,0.78,0.161,0.524,1.354,0.031,0.004,2.888,0.577,0.061,0.031,0.029,1.084,0.012,0.12,0.311,2.227,0.493,0.245,0.031,0.088,1.366,0.146,1.762,0.01,0.047,4.189,6.415,4.849,3.128,0.009,12.89
I8,I,"Aug. 20, 2021",,perch,68.6,0.011,0.004,0.275,0.064,2.08,0.095,0.619,0.033,0.012,0.012,3.206,0.004,0.019,0.742,0.134,0.494,1.303,0.028,0.003,2.726,0.722,0.073,0.022,0.032,0.869,0.007,0.103,0.274,2.103,0.541,0.154,0.024,0.051,1.084,0.139,1.554,0.006,0.034,3.587,5.69,4.079,2.638,0.009,11.62
ZP_1,A,"May. 27, 2021",2 hauls,zooplankton,10.8,0.282,0.11,10.769,0.768,16.023,0.77,3.874,0.398,0.311,0.166,33.471,0.046,0.097,3.271,0.936,2.373,6.033,0.314,1.851,14.92,6.661,0.87,0.535,0.213,4.609,0.129,0.185,3.281,16.482,9.162,12.58,0.179,1.103,13.728,0.549,8.562,0.052,0.083,45.998,62.479,31.305,22.29,0.033,110.87
ZP_2,B,"May. 27, 2021",3 hauls,zooplankton,7.1,0.307,0.1,7.94,0.65,16.563,0.63,3.379,0.521,0.393,0.207,30.69,0.033,0.049,2.641,0.863,1.852,7.742,0.612,3.092,16.884,8.39,0.714,0.667,0.236,2.531,0.231,0.209,3.561,16.539,8.653,10.951,0.32,1.252,9.622,0.733,10.113,0.114,0.156,41.915,58.455,27.326,19.736,0.056,106.03
ZP_3,C,"May. 27, 2021",2 hauls,zooplankton,10.4,0.271,0.109,9.536,0.816,16.641,0.716,3.16,0.431,0.328,0.182,32.191,0.045,0.095,3.431,1.169,2.254,6.589,0.305,1.094,14.982,6.96,0.839,0.543,0.21,3.395,0.106,0.191,3.569,15.815,9.849,12.944,0.229,1.055,11.723,0.582,9.722,0.068,0.1,46.273,62.087,29.621,21.445,0.033,109.26
ZP_4,D,"May. 27, 2021",2 hauls,zooplankton,10.3,0.196,0.064,6.281,0.458,11.982,0.434,2.714,0.42,0.333,0.253,23.134,0.025,0.06,1.975,0.489,1.342,5.241,0.341,1.463,10.938,6.543,0.508,0.438,0.16,2.417,0.122,0.141,2.328,12.656,6.791,7.366,0.215,0.922,8.51,0.473,6.599,0.08,0.098,31.055,43.711,20.843,15.109,0.04,77.78
ZP_5,E,"May. 27, 2021",2 haul,zooplankton,9.2,0.261,0.085,9.428,0.609,13.745,0.511,3.61,0.424,0.343,0.195,29.211,0.041,0.094,2.564,0.687,1.792,5.207,0.336,3.162,13.884,6.215,0.775,0.443,0.186,4.672,0.168,0.18,2.897,15.536,8.009,10.877,0.185,1.013,13.948,0.504,7.813,0.095,0.1,42.544,58.08,30.385,21.761,0.04,101.18
ZP_6,F,"May. 27, 2021",2 hauls,zooplankton,9.8,0.257,0.096,9.701,0.665,16.316,1.015,3.742,0.617,0.46,0.321,33.191,0.032,0.055,2.758,0.684,2.07,6.372,0.364,1.261,13.595,7.442,0.898,0.763,0.281,2.915,0.148,0.28,4.842,17.569,9.247,13.158,0.237,1.164,10.756,0.702,12.766,0.095,0.157,48.283,65.852,32.779,23.522,0.037,112.64
ZP_7,G,"May. 27, 2021",2 hauls,zooplankton,9.9,0.28,0.121,11.174,0.791,17.862,0.705,3.807,0.636,0.446,0.193,36.014,0.043,0.067,3.388,0.883,2.274,6.878,0.361,1.564,15.458,8.118,1.002,0.724,0.27,3.667,0.161,0.27,4.737,18.95,10.33,14.689,0.231,1.158,12.584,0.68,12.198,0.101,0.133,52.104,71.054,34.638,24.783,0.037,122.53
